Source,Destination,Date,Departure_Time,Arrival_Time,Duration,Price,Currency,Airline,Stops
PNQ,BOM,2026-02-10,18:45:00,00:55:00,PT6H10M,150.34,EUR,AI,1
PNQ,BOM,2026-02-10,18:45:00,00:15:00,PT5H30M,158.74,EUR,AI,1
PNQ,BOM,2026-02-10,15:55:00,22:00:00,PT6H5M,158.74,EUR,AI,1
PNQ,BOM,2026-02-10,21:55:00,09:15:00,PT11H20M,161.89,EUR,AI,1
PNQ,BOM,2026-02-10,20:30:00,09:15:00,PT12H45M,165.04,EUR,AI,1
PNQ,BOM,2026-02-10,21:55:00,09:35:00,PT11H40M,166.09,EUR,AI,1
PNQ,BOM,2026-02-10,15:55:00,22:15:00,PT6H20M,170.29,EUR,AI,1
PNQ,BOM,2026-02-10,20:30:00,09:35:00,PT13H5M,170.29,EUR,AI,1
PNQ,BOM,2026-02-10,12:20:00,18:15:00,PT5H55M,198.31,EUR,HR,1
PNQ,BOM,2026-02-10,15:20:00,21:15:00,PT5H55M,257.63,EUR,HR,1
PNQ,BOM,2026-02-10,15:20:00,00:10:00,PT8H50M,257.63,EUR,HR,1
PNQ,DEL,2026-02-10,18:45:00,21:10:00,PT2H25M,64.44,EUR,AI,0
PNQ,DEL,2026-02-10,20:30:00,22:40:00,PT2H10M,70.74,EUR,AI,0
PNQ,DEL,2026-02-10,15:55:00,18:20:00,PT2H25M,70.74,EUR,AI,0
PNQ,DEL,2026-02-10,21:55:00,00:25:00,PT2H30M,70.74,EUR,AI,0
PNQ,DEL,2026-02-10,15:20:00,17:25:00,PT2H5M,116.02,EUR,GP,0
PNQ,DEL,2026-02-10,12:20:00,20:00:00,PT7H40M,266.34,EUR,HR,1
PNQ,BLR,2026-02-10,21:55:00,09:20:00,PT11H25M,141.10,EUR,AI,1
PNQ,BLR,2026-02-10,18:45:00,00:30:00,PT5H45M,148.45,EUR,AI,1
PNQ,BLR,2026-02-10,15:55:00,22:15:00,PT6H20M,149.50,EUR,AI,1
PNQ,BLR,2026-02-10,21:55:00,08:40:00,PT10H45M,149.50,EUR,AI,1
PNQ,BLR,2026-02-10,20:30:00,00:30:00,PT4H,153.70,EUR,AI,1
PNQ,BLR,2026-02-10,15:55:00,22:55:00,PT7H,153.70,EUR,AI,1
PNQ,BLR,2026-02-10,18:45:00,05:30:00,PT10H45M,179.95,EUR,AI,1
PNQ,BLR,2026-02-10,20:30:00,05:30:00,PT9H,186.25,EUR,AI,1
PNQ,BLR,2026-02-10,15:20:00,23:50:00,PT8H30M,279.89,EUR,HR,1
PNQ,BLR,2026-02-10,15:20:00,09:05:00,PT17H45M,279.89,EUR,HR,1
PNQ,MAA,2026-02-10,21:30:00,23:20:00,PT1H50M,136.40,EUR,GP,0
PNQ,MAA,2026-02-10,21:55:00,05:20:00,PT7H25M,161.05,EUR,AI,1
PNQ,MAA,2026-02-10,15:55:00,23:50:00,PT7H55M,165.25,EUR,AI,1
PNQ,MAA,2026-02-10,20:30:00,05:20:00,PT8H50M,165.25,EUR,AI,1
PNQ,MAA,2026-02-10,21:55:00,08:55:00,PT11H,173.65,EUR,AI,1
PNQ,MAA,2026-02-10,15:55:00,22:55:00,PT7H,177.85,EUR,AI,1
PNQ,MAA,2026-02-10,20:30:00,08:55:00,PT12H25M,177.85,EUR,AI,1
PNQ,CCU,2026-02-10,21:55:00,04:15:00,PT6H20M,101.20,EUR,AI,1
PNQ,CCU,2026-02-10,21:55:00,09:00:00,PT11H5M,101.20,EUR,AI,1
PNQ,CCU,2026-02-10,18:45:00,00:10:00,PT5H25M,110.65,EUR,AI,1
PNQ,CCU,2026-02-10,20:30:00,04:15:00,PT7H45M,110.65,EUR,AI,1
PNQ,CCU,2026-02-10,20:30:00,09:00:00,PT12H30M,110.65,EUR,AI,1
PNQ,CCU,2026-02-10,15:55:00,23:30:00,PT7H35M,124.30,EUR,AI,1
PNQ,CCU,2026-02-10,15:55:00,00:10:00,PT8H15M,124.30,EUR,AI,1
PNQ,CCU,2026-02-10,15:20:00,09:00:00,PT17H40M,215.84,EUR,HR,1
PNQ,CCU,2026-02-10,15:20:00,00:40:00,PT9H20M,253.64,EUR,HR,1
PNQ,HYD,2026-02-10,21:55:00,04:50:00,PT6H55M,134.80,EUR,AI,1
PNQ,HYD,2026-02-10,21:55:00,08:20:00,PT10H25M,134.80,EUR,AI,1
PNQ,HYD,2026-02-10,15:55:00,21:50:00,PT5H55M,137.95,EUR,AI,1
PNQ,HYD,2026-02-10,15:55:00,22:20:00,PT6H25M,137.95,EUR,AI,1
PNQ,HYD,2026-02-10,20:30:00,04:50:00,PT8H20M,137.95,EUR,AI,1
PNQ,HYD,2026-02-10,20:30:00,08:20:00,PT11H50M,137.95,EUR,AI,1
PNQ,AMD,2026-02-10,15:55:00,21:40:00,PT5H45M,124.30,EUR,AI,1
PNQ,AMD,2026-02-10,21:55:00,08:00:00,PT10H5M,149.50,EUR,AI,1
PNQ,AMD,2026-02-10,15:55:00,21:30:00,PT5H35M,153.70,EUR,AI,1
PNQ,AMD,2026-02-10,21:55:00,06:35:00,PT8H40M,153.70,EUR,AI,1
PNQ,AMD,2026-02-10,20:30:00,08:00:00,PT11H30M,153.70,EUR,AI,1
PNQ,AMD,2026-02-10,20:30:00,06:35:00,PT10H5M,156.85,EUR,AI,1
PNQ,AMD,2026-02-10,15:20:00,23:40:00,PT8H20M,206.39,EUR,HR,1
PNQ,GOI,2026-02-10,12:20:00,13:25:00,PT1H5M,101.53,EUR,GP,0
PNQ,GOI,2026-02-10,15:55:00,00:20:00,PT8H25M,156.63,EUR,AI,1
PNQ,GOI,2026-02-10,21:55:00,13:30:00,PT15H35M,186.25,EUR,AI,1
PNQ,GOI,2026-02-10,20:30:00,13:30:00,PT17H,189.40,EUR,AI,1
PNQ,GOI,2026-02-10,15:20:00,16:50:00,PT25H30M,239.77,EUR,HR,1
PNQ,COK,2026-02-10,21:55:00,08:10:00,PT10H15M,147.40,EUR,AI,1
PNQ,COK,2026-02-10,21:55:00,11:20:00,PT13H25M,147.40,EUR,AI,1
PNQ,COK,2026-02-10,15:55:00,22:20:00,PT6H25M,150.55,EUR,AI,1
PNQ,COK,2026-02-10,20:30:00,08:10:00,PT11H40M,150.55,EUR,AI,1
PNQ,COK,2026-02-10,20:30:00,11:20:00,PT14H50M,150.55,EUR,AI,1
PNQ,COK,2026-02-10,21:30:00,08:10:00,PT10H40M,223.89,EUR,HR,1
PNQ,COK,2026-02-10,21:30:00,20:00:00,PT22H30M,223.89,EUR,HR,1
BOM,PNQ,2026-02-11,16:10:00,23:05:00,PT6H55M,141.91,EUR,AI,1
BOM,PNQ,2026-02-11,13:00:00,18:05:00,PT5H5M,144.01,EUR,AI,1
BOM,PNQ,2026-02-11,01:30:00,06:55:00,PT5H25M,145.06,EUR,AI,1
BOM,PNQ,2026-02-11,19:00:00,00:40:00,PT5H40M,145.06,EUR,AI,1
BOM,PNQ,2026-02-11,22:50:00,06:30:00,PT7H40M,145.06,EUR,AI,1
BOM,PNQ,2026-02-11,13:15:00,18:05:00,PT4H50M,146.11,EUR,AI,1
BOM,PNQ,2026-02-11,14:40:00,19:50:00,PT5H10M,151.36,EUR,AI,1
BOM,PNQ,2026-02-11,16:10:00,21:15:00,PT5H5M,152.41,EUR,AI,1
BOM,PNQ,2026-02-11,17:25:00,23:05:00,PT5H40M,153.46,EUR,AI,1
BOM,PNQ,2026-02-11,13:15:00,19:50:00,PT6H35M,153.46,EUR,AI,1
BOM,PNQ,2026-02-11,22:55:00,06:30:00,PT7H35M,154.51,EUR,AI,1
BOM,PNQ,2026-02-11,10:00:00,15:20:00,PT5H20M,155.56,EUR,AI,1
BOM,PNQ,2026-02-11,10:00:00,15:20:00,PT5H20M,161.86,EUR,AI,1
BOM,PNQ,2026-02-11,16:00:00,21:15:00,PT5H15M,163.96,EUR,AI,1
BOM,PNQ,2026-02-11,19:25:00,23:50:00,PT4H25M,165.01,EUR,AI,1
BOM,PNQ,2026-02-11,19:55:00,23:50:00,PT3H55M,166.06,EUR,AI,1
BOM,PNQ,2026-02-11,14:50:00,14:50:00,PT24H,226.71,EUR,HR,1
BOM,PNQ,2026-02-11,06:00:00,18:30:00,PT12H30M,255.50,EUR,HR,1
BOM,PNQ,2026-02-11,22:25:00,11:45:00,PT13H20M,290.15,EUR,HR,1
BOM,PNQ,2026-02-11,22:05:00,11:45:00,PT13H40M,290.15,EUR,HR,1
BOM,PNQ,2026-02-11,22:25:00,18:30:00,PT20H5M,290.15,EUR,HR,1
BOM,DEL,2026-02-11,21:00:00,23:10:00,PT2H10M,90.45,EUR,AI,0
BOM,DEL,2026-02-11,22:50:00,01:00:00,PT2H10M,90.45,EUR,AI,0
BOM,DEL,2026-02-11,01:30:00,03:45:00,PT2H15M,90.45,EUR,AI,0
BOM,DEL,2026-02-11,11:50:00,14:05:00,PT2H15M,90.45,EUR,AI,0
BOM,DEL,2026-02-11,16:10:00,18:25:00,PT2H15M,90.45,EUR,AI,0
BOM,DEL,2026-02-11,19:00:00,21:15:00,PT2H15M,90.45,EUR,AI,0
BOM,DEL,2026-02-11,15:45:00,18:05:00,PT2H20M,90.45,EUR,AI,0
BOM,DEL,2026-02-11,21:55:00,00:15:00,PT2H20M,90.45,EUR,AI,0
BOM,DEL,2026-02-11,07:40:00,11:15:00,PT3H35M,90.45,EUR,AI,0
BOM,DEL,2026-02-11,07:00:00,09:15:00,PT2H15M,90.45,EUR,AI,0
BOM,DEL,2026-02-11,10:25:00,12:45:00,PT2H20M,90.45,EUR,AI,0
BOM,DEL,2026-02-11,07:30:00,09:45:00,PT2H15M,91.50,EUR,AI,0
BOM,DEL,2026-02-11,13:00:00,15:15:00,PT2H15M,91.50,EUR,AI,0
BOM,DEL,2026-02-11,10:00:00,12:15:00,PT2H15M,92.55,EUR,AI,0
BOM,DEL,2026-02-11,14:40:00,16:55:00,PT2H15M,92.55,EUR,AI,0
BOM,DEL,2026-02-11,08:00:00,10:20:00,PT2H20M,92.55,EUR,AI,0
BOM,DEL,2026-02-11,09:25:00,11:45:00,PT2H20M,92.55,EUR,AI,0
BOM,DEL,2026-02-11,13:15:00,15:05:00,PT1H50M,93.60,EUR,AI,0
BOM,DEL,2026-02-11,18:20:00,20:40:00,PT2H20M,93.60,EUR,AI,0
BOM,DEL,2026-02-11,04:30:00,20:50:00,PT16H20M,93.60,EUR,AI,0
BOM,DEL,2026-02-11,22:55:00,23:10:00,PT15M,99.90,EUR,AI,0
BOM,DEL,2026-02-11,10:00:00,11:40:00,PT1H40M,99.90,EUR,AI,0
BOM,DEL,2026-02-11,15:20:00,17:10:00,PT1H50M,99.90,EUR,AI,0
BOM,DEL,2026-02-11,05:55:00,08:05:00,PT2H10M,99.90,EUR,AI,0
BOM,DEL,2026-02-11,08:45:00,10:55:00,PT2H10M,100.95,EUR,AI,0
BOM,DEL,2026-02-11,17:25:00,19:45:00,PT2H20M,100.95,EUR,AI,0
BOM,DEL,2026-02-11,16:00:00,18:30:00,PT2H30M,100.95,EUR,AI,0
BOM,DEL,2026-02-11,19:25:00,21:45:00,PT2H20M,102.00,EUR,AI,0
BOM,DEL,2026-02-11,19:55:00,22:10:00,PT2H15M,103.05,EUR,AI,0
BOM,DEL,2026-02-11,22:05:00,00:20:00,PT2H15M,148.63,EUR,GP,0
BOM,DEL,2026-02-11,22:25:00,00:40:00,PT2H15M,148.63,EUR,GP,0
BOM,DEL,2026-02-11,06:00:00,08:30:00,PT2H30M,148.63,EUR,GP,0
BOM,DEL,2026-02-11,07:55:00,17:45:00,PT9H50M,215.12,EUR,HR,1
BOM,DEL,2026-02-11,07:55:00,08:25:00,PT24H30M,215.12,EUR,HR,1
BOM,DEL,2026-02-11,14:00:00,12:50:00,PT22H50M,238.33,EUR,HR,1
BOM,DEL,2026-02-11,08:20:00,15:00:00,PT6H40M,246.52,EUR,HR,1
BOM,DEL,2026-02-11,14:50:00,20:00:00,PT5H10M,248.33,EUR,HR,1
BOM,DEL,2026-02-11,20:10:00,18:10:00,PT22H,256.07,EUR,HR,1
BOM,BLR,2026-02-11,06:35:00,08:30:00,PT1H55M,58.33,EUR,AI,0
BOM,BLR,2026-02-11,20:10:00,22:05:00,PT1H55M,58.33,EUR,AI,0
BOM,BLR,2026-02-11,07:50:00,09:45:00,PT1H55M,59.38,EUR,AI,0
BOM,BLR,2026-02-11,17:30:00,19:30:00,PT2H,59.38,EUR,AI,0
BOM,BLR,2026-02-11,15:20:00,17:15:00,PT1H55M,61.48,EUR,AI,0
BOM,BLR,2026-02-11,21:30:00,23:35:00,PT2H5M,61.48,EUR,AI,0
BOM,BLR,2026-02-11,16:40:00,18:35:00,PT1H55M,61.48,EUR,AI,0
BOM,BLR,2026-02-11,18:50:00,20:35:00,PT1H45M,63.58,EUR,AI,0
BOM,BLR,2026-02-11,09:00:00,16:35:00,PT7H35M,113.56,EUR,AI,1
BOM,BLR,2026-02-11,22:55:00,08:40:00,PT9H45M,113.56,EUR,AI,1
BOM,BLR,2026-02-11,21:00:00,08:40:00,PT11H40M,113.56,EUR,AI,1
BOM,BLR,2026-02-11,06:40:00,16:35:00,PT9H55M,116.71,EUR,AI,1
BOM,BLR,2026-02-11,18:10:00,23:00:00,PT4H50M,153.46,EUR,AI,1
BOM,BLR,2026-02-11,16:00:00,23:00:00,PT7H,153.46,EUR,AI,1
BOM,BLR,2026-02-11,01:30:00,09:20:00,PT7H50M,160.81,EUR,AI,1
BOM,BLR,2026-02-11,14:40:00,21:15:00,PT6H35M,162.91,EUR,AI,1
BOM,BLR,2026-02-11,14:40:00,21:05:00,PT6H25M,163.96,EUR,AI,1
BOM,BLR,2026-02-11,16:10:00,22:15:00,PT6H5M,165.01,EUR,AI,1
BOM,BLR,2026-02-11,11:50:00,18:20:00,PT6H30M,165.01,EUR,AI,1
BOM,BLR,2026-02-11,16:10:00,22:55:00,PT6H45M,165.01,EUR,AI,1
BOM,BLR,2026-02-11,13:00:00,18:55:00,PT5H55M,167.11,EUR,AI,1
BOM,BLR,2026-02-11,21:00:00,00:30:00,PT3H30M,169.21,EUR,AI,1
BOM,BLR,2026-02-11,01:30:00,08:40:00,PT7H10M,169.21,EUR,AI,1
BOM,BLR,2026-02-11,13:15:00,18:55:00,PT5H40M,169.21,EUR,AI,1
BOM,BLR,2026-02-11,10:25:00,17:00:00,PT6H35M,169.21,EUR,AI,1
BOM,BLR,2026-02-11,15:20:00,21:15:00,PT5H55M,170.26,EUR,AI,1
BOM,BLR,2026-02-11,11:50:00,17:50:00,PT6H,170.26,EUR,AI,1
BOM,BLR,2026-02-11,10:25:00,17:50:00,PT7H25M,170.26,EUR,AI,1
BOM,BLR,2026-02-11,15:20:00,21:05:00,PT5H45M,171.31,EUR,AI,1
BOM,BLR,2026-02-11,10:00:00,17:00:00,PT7H,171.31,EUR,AI,1
BOM,BLR,2026-02-11,17:25:00,23:25:00,PT6H,172.36,EUR,AI,1
BOM,BLR,2026-02-11,07:00:00,13:35:00,PT6H35M,173.41,EUR,AI,1
BOM,BLR,2026-02-11,07:30:00,13:35:00,PT6H5M,174.46,EUR,AI,1
BOM,BLR,2026-02-11,16:00:00,22:15:00,PT6H15M,176.56,EUR,AI,1
BOM,BLR,2026-02-11,16:00:00,22:55:00,PT6H55M,176.56,EUR,AI,1
BOM,BLR,2026-02-11,08:00:00,14:55:00,PT6H55M,177.61,EUR,AI,1
BOM,BLR,2026-02-11,22:55:00,00:30:00,PT1H35M,178.66,EUR,AI,1
BOM,BLR,2026-02-11,10:00:00,17:00:00,PT7H,178.66,EUR,AI,1
BOM,BLR,2026-02-11,05:55:00,11:50:00,PT5H55M,178.66,EUR,AI,1
BOM,BLR,2026-02-11,05:55:00,12:35:00,PT6H40M,182.86,EUR,AI,1
BOM,BLR,2026-02-11,08:45:00,14:55:00,PT6H10M,186.01,EUR,AI,1
BOM,BLR,2026-02-11,06:00:00,23:50:00,PT17H50M,261.80,EUR,HR,1
BOM,BLR,2026-02-11,22:25:00,09:05:00,PT10H40M,312.20,EUR,HR,1
BOM,BLR,2026-02-11,22:05:00,09:05:00,PT11H,312.20,EUR,HR,1
BOM,MAA,2026-02-11,13:35:00,15:30:00,PT1H55M,82.48,EUR,AI,0
BOM,MAA,2026-02-11,09:00:00,11:00:00,PT2H,82.48,EUR,AI,0
BOM,MAA,2026-02-11,17:05:00,19:05:00,PT2H,82.48,EUR,AI,0
BOM,MAA,2026-02-11,22:55:00,00:55:00,PT2H,82.48,EUR,AI,0
BOM,MAA,2026-02-11,21:00:00,23:10:00,PT2H10M,82.48,EUR,AI,0
BOM,MAA,2026-02-11,06:40:00,08:55:00,PT2H15M,86.68,EUR,AI,0
BOM,MAA,2026-02-11,18:10:00,20:10:00,PT2H,92.98,EUR,AI,0
BOM,MAA,2026-02-11,20:10:00,06:50:00,PT10H40M,114.61,EUR,AI,1
BOM,MAA,2026-02-11,11:20:00,14:50:00,PT3H30M,127.21,EUR,AI,1
BOM,MAA,2026-02-11,21:30:00,06:50:00,PT9H20M,127.21,EUR,AI,1
BOM,MAA,2026-02-11,09:20:00,14:50:00,PT5H30M,129.31,EUR,AI,1
BOM,MAA,2026-02-11,13:15:00,19:10:00,PT5H55M,200.71,EUR,AI,1
BOM,MAA,2026-02-11,15:20:00,20:40:00,PT5H20M,205.96,EUR,AI,1
BOM,MAA,2026-02-11,10:00:00,16:35:00,PT6H35M,205.96,EUR,AI,1
BOM,MAA,2026-02-11,10:25:00,16:35:00,PT6H10M,205.96,EUR,AI,1
BOM,MAA,2026-02-11,01:30:00,08:55:00,PT7H25M,205.96,EUR,AI,1
BOM,MAA,2026-02-11,01:30:00,10:35:00,PT9H5M,205.96,EUR,AI,1
BOM,MAA,2026-02-11,05:55:00,12:45:00,PT6H50M,205.96,EUR,AI,1
BOM,MAA,2026-02-11,16:10:00,23:50:00,PT7H40M,205.96,EUR,AI,1
BOM,MAA,2026-02-11,14:40:00,20:40:00,PT6H,208.06,EUR,AI,1
BOM,MAA,2026-02-11,10:00:00,16:35:00,PT6H35M,208.06,EUR,AI,1
BOM,MAA,2026-02-11,08:00:00,15:10:00,PT7H10M,208.06,EUR,AI,1
BOM,MAA,2026-02-11,13:00:00,19:10:00,PT6H10M,208.06,EUR,AI,1
BOM,MAA,2026-02-11,17:25:00,23:50:00,PT6H25M,208.06,EUR,AI,1
BOM,MAA,2026-02-11,08:45:00,15:10:00,PT6H25M,219.61,EUR,AI,1
BOM,MAA,2026-02-11,16:10:00,22:55:00,PT6H45M,220.66,EUR,AI,1
BOM,MAA,2026-02-11,16:00:00,22:55:00,PT6H55M,244.81,EUR,AI,1
BOM,CCU,2026-02-11,18:20:00,20:10:00,PT1H50M,63.58,EUR,AI,0
BOM,CCU,2026-02-11,13:50:00,16:50:00,PT3H,63.58,EUR,AI,0
BOM,CCU,2026-02-11,06:50:00,09:30:00,PT2H40M,66.73,EUR,AI,0
BOM,CCU,2026-02-11,19:05:00,21:35:00,PT2H30M,67.78,EUR,AI,0
BOM,CCU,2026-02-11,11:40:00,14:30:00,PT2H50M,70.93,EUR,AI,0
BOM,CCU,2026-02-11,07:55:00,10:50:00,PT2H55M,117.56,EUR,GP,0
BOM,CCU,2026-02-11,01:30:00,09:00:00,PT7H30M,121.96,EUR,AI,1
BOM,CCU,2026-02-11,01:30:00,09:45:00,PT8H15M,121.96,EUR,AI,1
BOM,CCU,2026-02-11,14:40:00,20:30:00,PT5H50M,124.06,EUR,AI,1
BOM,CCU,2026-02-11,13:15:00,19:45:00,PT6H30M,125.11,EUR,AI,1
BOM,CCU,2026-02-11,22:50:00,04:15:00,PT5H25M,130.36,EUR,AI,1
BOM,CCU,2026-02-11,16:10:00,23:30:00,PT7H20M,130.36,EUR,AI,1
BOM,CCU,2026-02-11,13:00:00,19:45:00,PT6H45M,131.41,EUR,AI,1
BOM,CCU,2026-02-11,18:20:00,00:10:00,PT5H50M,133.51,EUR,AI,1
